iter	Passed	Remaining
409	3429	4934
410	3436	4925
411	3444	4915
412	3451	4906
413	3459	4896
414	3467	4887
415	3475	4878
416	3483	4869
417	3490	4860
418	3498	4850
419	3506	4842
420	3516	4836
421	3524	4827
422	3532	4818
423	3540	4809
424	3548	4801
425	3556	4791
426	3564	4782
427	3572	4773
428	3579	4764
429	3587	4755
430	3595	4746
431	3603	4737
432	3611	4729
433	3621	4722
434	3631	4716
435	3645	4715
436	3658	4713
437	3668	4707
438	3677	4699
439	3684	4689
440	3693	4682
441	3702	4673
442	3710	4665
443	3720	4658
444	3730	4653
445	3739	4644
446	3747	4636
447	3755	4627
448	3764	4619
449	3772	4611
450	3781	4602
451	3789	4594
452	3797	4586
453	3805	4577
454	3813	4568
455	3821	4559
456	3830	4551
457	3838	4542
458	3846	4533
459	3854	4524
460	3861	4515
461	3869	4506
462	3877	4497
463	3884	4487
464	3891	4477
465	3898	4467
466	3905	4457
467	3913	4448
468	3920	4438
469	3929	4431
470	3937	4422
471	3945	4413
472	3952	4403
473	3959	4394
474	3966	4384
475	3974	4375
476	3982	4366
477	3989	4356
478	3996	4347
479	4003	4337
480	4011	4328
481	4018	4318
482	4025	4309
483	4032	4299
484	4039	4289
485	4047	4280
486	4054	4270
487	4061	4261
488	4068	4251
489	4075	4242
490	4083	4232
491	4090	4223
492	4098	4215
493	4107	4207
494	4114	4198
495	4122	4189
496	4129	4179
497	4137	4170
498	4145	4162
499	4154	4154
500	4162	4145
501	4169	4136
502	4177	4127
503	4184	4117
504	4191	4108
505	4198	4098
506	4205	4089
507	4212	4080
508	4219	4070
509	4228	4062
510	4237	4054
511	4247	4048
512	4256	4040
513	4264	4031
514	4273	4024
515	4281	4016
516	4289	4007
517	4296	3998
518	4304	3989
519	4311	3979
520	4318	3970
521	4325	3961
522	4332	3951
523	4339	3942
524	4346	3932
525	4353	3923
526	4361	3914
527	4370	3907
528	4380	3899
529	4387	3891
530	4395	3882
531	4402	3872
532	4409	3863
533	4416	3854
534	4423	3844
535	4430	3835
536	4437	3826
537	4445	3817
538	4452	3808
539	4459	3798
540	4466	3789
541	4473	3780
542	4480	3771
543	4487	3761
544	4495	3752
545	4502	3743
546	4509	3734
547	4516	3725
548	4523	3715
549	4530	3706
550	4537	3697
551	4544	3688
552	4551	3678
553	4558	3669
554	4566	3661
555	4574	3652
556	4582	3644
557	4589	3635
558	4596	3626
559	4603	3617
560	4610	3608
561	4617	3598
562	4624	3589
563	4631	3580
564	4638	3571
565	4645	3562
566	4652	3553
567	4659	3544
568	4667	3535
569	4673	3525
570	4680	3516
571	4688	3507
572	4695	3498
573	4702	3489
574	4709	3480
575	4716	3471
576	4723	3462
577	4730	3453
578	4737	3444
579	4745	3436
580	4751	3426
581	4759	3418
582	4769	3411
583	4777	3403
584	4785	3395
585	4794	3387
586	4804	3380
587	4814	3373
588	4822	3365
589	4830	3356
590	4837	3348
591	4845	3339
592	4852	3330
593	4859	3321
594	4866	3312
595	4873	3303
596	4880	3294
597	4887	3285
598	4894	3276
599	4901	3267
600	4908	3258
601	4915	3249
602	4922	3241
603	4930	3232
604	4937	3223
605	4943	3214
606	4950	3205
607	4958	3196
608	4965	3187
609	4972	3179
610	4979	3170
611	4987	3162
612	4995	3153
613	5003	3145
614	5010	3136
615	5017	3127
616	5024	3118
617	5031	3110
618	5038	3101
619	5045	3092
620	5052	3083
621	5059	3074
622	5066	3066
623	5074	3057
624	5082	3049
625	5090	3041
626	5098	3032
627	5105	3024
628	5113	3016
629	5121	3007
630	5128	2999
631	5136	2990
632	5143	2981
633	5150	2973
