iter	Logloss
0	0.6860693793
1	0.6797460235
2	0.674106774
3	0.669028828
4	0.6645297033
5	0.6605152934
6	0.6569583653
7	0.6538055995
8	0.6509508399
9	0.6484414791
10	0.6462047369
11	0.6442176784
12	0.6423919764
13	0.6407884757
14	0.6393633149
15	0.6380743666
16	0.6369326733
17	0.6359223426
18	0.6349610605
19	0.6341411386
20	0.6334282905
21	0.6327765263
22	0.6322101861
23	0.631657218
24	0.6311983822
25	0.6306931393
26	0.6302431382
27	0.6298564391
28	0.6295658843
29	0.6292486349
30	0.6289390505
31	0.6287060455
32	0.6284458071
33	0.6282151465
34	0.6280698183
35	0.6278062294
36	0.6276446893
37	0.6274632802
38	0.6272559082
39	0.6270883849
40	0.6269701217
41	0.6268886384
42	0.626698478
43	0.6265850598
44	0.6264936616
45	0.6264065937
46	0.626293421
47	0.6261577706
48	0.626032696
49	0.6259368684
50	0.6258668761
51	0.6257048105
52	0.625607672
53	0.6254999021
54	0.625452438
55	0.6253504957
56	0.6252716474
57	0.6251520762
58	0.6250125924
59	0.624907794
60	0.6248365387
61	0.6247526737
62	0.6246285912
63	0.6245597411
64	0.6244650271
65	0.624415285
66	0.6243430541
67	0.6242667362
68	0.6242134898
69	0.6241287876
70	0.624056689
71	0.6239812361
72	0.6239126914
73	0.6238592737
74	0.6238443269
75	0.6237606914
76	0.6236902349
77	0.6236342496
78	0.6235676985
79	0.6235199049
80	0.6234230834
81	0.6233422682
82	0.6232630882
83	0.6231943095
84	0.6231340286
85	0.6230840222
86	0.623017929
87	0.622986189
88	0.6229257282
89	0.6229038062
90	0.6228238362
91	0.6227529355
92	0.6226455242
93	0.622566306
94	0.6225035468
95	0.6224596111
96	0.622392283
97	0.6222956379
98	0.6221974611
99	0.6221293374
100	0.6220800131
101	0.6220542708
102	0.622031836
103	0.6219670839
104	0.6218987447
105	0.621857673
106	0.6218379178
107	0.6217610846
108	0.6217144925
109	0.6216649414
110	0.6216207441
111	0.6215959342
112	0.6215458551
113	0.6215025587
114	0.6214529355
115	0.6213929251
116	0.6213494285
117	0.6212904217
118	0.6212388587
119	0.621187294
120	0.6211448563
121	0.6211159512
122	0.6210787297
123	0.6210135406
124	0.620951396
125	0.6209131796
126	0.6208914896
127	0.6208359039
128	0.620756174
129	0.6207209861
130	0.6206535706
131	0.6205890804
132	0.6205472093
133	0.6204449181
134	0.6204135183
135	0.620360016
136	0.6203358898
137	0.6202904374
138	0.6202453717
139	0.6201924415
140	0.6201164799
141	0.6200710547
142	0.6200306988
143	0.6199883166
144	0.6199328272
145	0.6198871088
146	0.6198478923
147	0.6198158138
148	0.6197655017
149	0.6197180528
150	0.6196794464
151	0.6196101796
152	0.6195540085
153	0.6194991064
154	0.6194713792
155	0.6194242418
156	0.6193662581
157	0.6193214569
158	0.6192766379
159	0.6192328463
160	0.6191941794
161	0.61916149
162	0.6191255537
163	0.6190934076
164	0.6190332491
165	0.6189786372
166	0.6189162825
167	0.6188628486
168	0.6188490862
169	0.6187684805
170	0.6187347032
171	0.6186898627
172	0.6186318974
173	0.618572143
174	0.6185212719
175	0.6184963954
176	0.6184633087
177	0.6184213541
178	0.6183786687
179	0.6183411801
180	0.6183128271
181	0.6182683577
182	0.6181982925
183	0.618138157
184	0.6180606732
185	0.6180001252
186	0.6179188844
187	0.6178757331
188	0.6178460183
189	0.6177875777
190	0.6177484062
191	0.6177146743
192	0.6176534825
193	0.6175739098
194	0.6175218228
195	0.6174349211
196	0.6173796937
197	0.6173221509
198	0.6172143665
199	0.6171673853
200	0.6170744852
201	0.6170264202
202	0.6169809346
203	0.6169248772
204	0.6168541471
205	0.6167760946
206	0.6167012941
207	0.6166271309
208	0.6165624327
209	0.6165071132
210	0.6164586155
211	0.6164078553
212	0.6163615891
213	0.6162908087
214	0.6162286577
215	0.6161845806
216	0.616163188
217	0.6160991299
218	0.6160232015
219	0.6159427145
220	0.6158950462
221	0.6158602458
222	0.6158103591
223	0.6157335237
224	0.6156755648
225	0.6156120463
226	0.6155660884
227	0.6154897185
228	0.6154135468
229	0.6153629958
230	0.6153008233
231	0.6152428377
232	0.6151651245
233	0.6151130095
234	0.6150420278
235	0.6149342648
236	0.6149103869
237	0.6148825605
238	0.6148386847
239	0.6147809627
240	0.6147003907
241	0.6146342656
242	0.6145884305
243	0.6145624594
244	0.6144986638
245	0.6144549586
246	0.6144192499
247	0.6143704467
248	0.614328313
249	0.6142420986
250	0.6141638124
251	0.614088921
252	0.6140425237
253	0.6139850195
254	0.6139117334
255	0.6138510316
256	0.6137918913
257	0.6137461213
258	0.613690465
259	0.6136311358
260	0.613543649
261	0.6134821304
262	0.6134523012
263	0.6133618048
264	0.6133217426
265	0.6132475238
266	0.6131961504
267	0.6131594412
268	0.6130824727
269	0.6130234811
270	0.6129544327
271	0.6128972757
272	0.6128473701
273	0.6127590558
274	0.6127162932
275	0.6126711571
276	0.6126080597
277	0.6125371859
278	0.6124840423
279	0.6124310277
280	0.6123403364
281	0.6122783088
282	0.6121877701
283	0.6121356141
284	0.6121074818
285	0.6120442107
286	0.6119980377
287	0.6119214334
288	0.6118772746
289	0.6118365246
290	0.6117694408
291	0.6117015137
292	0.6116442735
293	0.611576535
294	0.6115173209
295	0.611469943
296	0.6113950918
297	0.6113590854
298	0.6113027982
299	0.6112752685
300	0.611232762
301	0.6111765
302	0.6111257159
303	0.6110779124
304	0.6110203482
305	0.610980792
306	0.6109060034
307	0.6108736394
308	0.6108331801
309	0.6107905419
310	0.6107404062
311	0.6106637993
312	0.6106049236
313	0.6105590351
314	0.6104964739
315	0.6104254405
316	0.6103728611
317	0.6103140578
318	0.6102825503
319	0.6102448517
320	0.610203785
321	0.6101690768
322	0.6101332666
323	0.6100853957
324	0.6100556715
325	0.6099954482
326	0.6099462086
327	0.6099029775
328	0.6098559111
329	0.6098189788
330	0.609754213
331	0.6097141885
332	0.6096347489
333	0.6095883488
334	0.6095296579
335	0.6094950706
336	0.6094624967
337	0.6094184752
338	0.6093412978
339	0.6093065516
340	0.6092498523
341	0.6092111609
342	0.609185356
343	0.60913597
344	0.6090847473
345	0.6090441515
346	0.6090032754
347	0.6089676795
348	0.6089094896
349	0.6088515834
350	0.6088263519
351	0.6087902786
352	0.6087538686
353	0.6087255658
354	0.6086694844
355	0.6086172346
356	0.6085889758
357	0.6085261599
358	0.6084749911
359	0.6084461957
360	0.608394748
361	0.6083578271
362	0.6083179251
363	0.6082774236
364	0.608230505
365	0.6081875996
366	0.608142561
367	0.6080914954
368	0.6080584057
369	0.6080255498
370	0.6079875038
371	0.6079509527
372	0.6079142771
373	0.6078728075
374	0.60780844
375	0.6077793907
376	0.6077199718
377	0.6076818276
378	0.6076392413
379	0.6076051654
380	0.6075647214
381	0.6075243987
382	0.6074788299
383	0.6074141724
384	0.6073855325
385	0.6073199008
386	0.6072882791
387	0.6072329744
388	0.6071918044
389	0.6071405846
390	0.60710274
391	0.6070589944
392	0.6070103003
393	0.6069650656
394	0.6069071117
395	0.6068858692
396	0.6068555918
397	0.6068135021
398	0.6067675663
399	0.6067275838
400	0.6066928659
401	0.6066488832
402	0.6066012151
403	0.6065469203
404	0.6065163129
405	0.6065019183
406	0.6064481151
407	0.6064165453
408	0.6063890984
409	0.6063639166
410	0.606345751
411	0.6063262732
412	0.6063030654
413	0.6062551834
414	0.6062166391
415	0.6061898631
416	0.6061617653
417	0.6061377936
418	0.6061074886
419	0.606072477
420	0.6060095513
421	0.6059961484
422	0.6059597522
423	0.6059198869
424	0.605838938
425	0.6058058618
426	0.60576323
427	0.6057152252
428	0.6056673133
429	0.6056272467
430	0.605578035
431	0.6055395169
432	0.6054915964
433	0.605465449
434	0.6054216893
435	0.6053906529
436	0.6053543075
437	0.605322932
438	0.6052914363
439	0.6052201251
440	0.6051634208
441	0.6051166717
442	0.6050818268
443	0.6050256539
444	0.6050175063
445	0.6049815115
446	0.6049600729
447	0.6049220733
448	0.6048947527
449	0.6048408086
450	0.6047903427
451	0.6047458558
452	0.6047152987
453	0.6046915117
454	0.6046614172
455	0.6046143589
456	0.6045760484
457	0.6045545345
458	0.6045180194
459	0.6044542959
460	0.6043986761
461	0.6043522982
462	0.6043066537
463	0.6042723462
464	0.6042450328
465	0.6041977411
466	0.6041728155
467	0.6041142961
468	0.6040823239
469	0.6040152089
470	0.6039873131
471	0.6039435998
472	0.6038943895
473	0.603860468
474	0.6038318098
475	0.6037913699
476	0.6037417227
477	0.603709395
478	0.6036501876
479	0.6036064755
480	0.6035459333
481	0.6035245909
482	0.6034867279
483	0.6034425211
484	0.6034143425
485	0.6033703892
486	0.6033390018
487	0.6032966044
488	0.6032643574
489	0.603205274
490	0.6031781811
491	0.6031399825
492	0.6031052263
493	0.6030567363
494	0.6030114531
495	0.6029728729
496	0.6029465789
497	0.602901643
498	0.6028677795
499	0.6028233229
500	0.6027984812
501	0.6027726356
502	0.6027152282
503	0.6026541326
504	0.6026154708
